title,author,rating,ratingnum,preptime,cooktime,totaltime,servings,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,source,link,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16,ingredient17,ingredient18,ingredient19,ingredient20,ingredient21,ingredient22,ingredient23,ingredient24,ingredient25,ingredient26
Birthday Cake Cookies,Heather Perine,Noratingsyet,,20 minutes,10 minutes,30 minutes,20 cookies,13,▢ 2 ¼ cups (280 g) all purpose flour spooned and leveled,▢ 2 teaspoons cornstarch,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,▢ ¾ cup (170 g) unsalted butter melted and slightly cooled,▢ ¾ cup (153 g) packed light brown sugar,▢ ½ cup (100 g) granulated sugar,▢ 1 large egg room temperature,▢ 1 large egg yolk room temperature,▢ 2 teaspoons vanilla extract,▢ ½ teaspoon almond extract,Boston Girl Bakes,https://www.bostongirlbakes.com/birthday-cake-cookies/,▢ ½ cup rainbow sprinkles I like all natural sprinkles for best flavor,▢ 1 cup (170 g) white chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buckeye Brownie Cookies,Heather Perine,Noratingsyet,,45 minutes,12 minutes,17 minutes,NA,20,Cookie dough,"▢ 8 ounces (226 g) semi-sweet chocolate, coarsely chopped",▢ ¾ cup (90 g) all-purpose flour (spooned & leveled),▢ ¼ cup (21 g) natural unsweetened or dutch-process cocoa powder,▢ 1 teaspoon baking powder,▢ ¼ teaspoon salt,"▢ 5 Tablespoons (71 g) unsalted butter, softened to room temperature",▢ ¾ cup (150 g) packed light brown sugar,▢ ¼ cup (50 g) granulated sugar,▢ 2 large eggs at room temperature,▢ 2 teaspoon pure vanilla extract,Boston Girl Bakes,https://www.bostongirlbakes.com/buckeye-brownie-cookies/,▢ ½ cup (85 g) semi-sweet chocolate chips,Ganache:,▢ ½ cup (120 ml) heavy cream,▢ 4 ounces semi sweet chocolate chopped,Buckeye topping:,"▢ 2 Tablespoons (28 g) unsalted butter, melted",▢ ¾ cups (90 g) confectioners sugar (powdered sugar),▢ ½ cup (250 g) smooth peanut butter,▢ ½ teaspoon vanilla extract,NA,NA,NA,NA,NA,NA
Chocolate Peppermint Whoopie Pies,Heather Perine,Noratingsyet,,40 minutes,13 minutes,53 minutes,12 servings,19,For the whoopie pies,▢ 2 cups (250 g) all-purpose flour spooned and leveled,▢ ½ cup (45 g) natural unsweetened cocoa powder,▢ 1 teaspoon baking soda,▢ 1 teaspoons instant espresso powder,▢ ½ teaspoon salt,"▢ ½ cup (1 stick, 113 g) unsalted butter softened to room temperature",▢ 1 cup (200 g) packed light brown sugar,▢ 1 large egg at room temperature,▢ 2 teaspoons vanilla extract,▢ 1 cup (240 ml) buttermilk at room temperature,Boston Girl Bakes,https://www.bostongirlbakes.com/chocolate-peppermint-whoopie-pies/,For the frosting:,"▢ 1 cup (2 sticks, 226 g) unsalted butter softened",▢ 2 cups (226 g) powdered sugar,▢ 7 ounces marshmallow creme,▢ ⅛ teaspoon salt,▢ 1 teaspoon vanilla extract,▢ ½ teaspoon peppermint extract,▢ Crushed candy canes optional,NA,NA,NA,NA,NA,NA,NA
Double Chocolate Chip Cookies,Heather Perine,Noratingsyet,,20 minutes,12 minutes,32 minutes,30 servings,10,▢ 2 ¾ cups (330 g) all purpose flour spooned and leveled,▢ ⅔ cup (56 g) Dutch process cocoa powder,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,"▢ 1 cup (2 sticks, 226 g) unsalted butter melted",▢ 1 cup (213 g) packed light brown sugar,▢ 1 cup (200 g) granulated white sugar,▢ 2 large eggs room temperature,▢ 2 teaspoons vanilla extract,▢ 12 ounces semi-sweet chocolate chips,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/double-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gingerbread Latte Cookies,Heather Perine,Noratingsyet,,20 minutes,12 minutes,32 minutes,24 cookies,18,For the cookies,▢ 2 ½ cups (300 g) all purpose flour *spooned and leveled,▢ 1 teaspoons ground ginger,▢ 1 ½ teaspoons baking soda,▢ ½ teaspoon ground cinnamon,▢ ½ teaspoon salt,▢ 2 Tablespoons instant espresso powder,"▢ ½ cup (1 stick, 113 g) unsalted butter softened to room temperature",▢ ¼ cup (50 g) granulated white sugar,▢ ¾ cup (160 g) light brown sugar,▢ 1 large egg room temperature,Boston Girl Bakes,https://www.bostongirlbakes.com/gingerbread-latte-cookies/,▢ ⅓ cup (113 g) unsulphured molasses – I used Grandma's,▢ 1 teaspoon vanilla extract,Icing:,▢ 1 cup (113 g) powdered sugar,▢ 1 teaspoon espresso powder,▢ ½ teaspoon vanilla,▢ 2 Tablespoons milk,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Chocolate Chip Cookies,Heather Perine,Noratingsyet,,20 minutes,12 minutes,32 minutes,20 servings,12,▢ 2 ¼ cups (280 g) all-purpose flour (spooned & leveled),▢ 1 teaspoon baking soda,▢ 2 teaspoons cornstarch,▢ ½ teaspoon salt,▢ ¾ cup (170 g) unsalted butter melted and slightly cooled,▢ ¾ cup (150 g) packed light brown sugar,▢ ½ cup (100 g) granulated sugar,▢ 1 large egg + 1 egg yolk at room temperature,▢ 2 teaspoons pure vanilla extract,▢ ¾ cup (128 g) semi sweet chocolate chips,▢ ½ cup (85 g) white chocolate chips,Boston Girl Bakes,https://www.bostongirlbakes.com/peppermint-chocolate-chip-cookies/,▢ 5 candy canes crushed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Velvet Crinkle Cookies,Heather Perine,Noratingsyet,,20 minutes,12 minutes,32 minutes,24 cookies,14,▢ 2 cups (240 g) all-purpose flour spooned and leveled,▢ ¼ cup (21 g) unsweetened cocoa powder,▢ 1 teaspoon baking soda,▢ 1 ½ teaspoons cornstarch,▢ ½ teaspoon baking powder,▢ ½ teaspoon salt,"▢ ½ cup (1 stick, 113 g) unsalted butter softened",▢ ¾ cup (160 g) packed light brown sugar,▢ ¼ cup (50 g) granulated white sugar plus more for rolling in,▢ 1 large egg room temperature,▢ 1 ½ tablespoons buttermilk or regular milk,Boston Girl Bakes,https://www.bostongirlbakes.com/red-velvet-crinkle-cookies/,▢ 2 teaspoons vanilla extract,▢ 1 tablespoon red food coloring,▢ Powdered sugar for rolling in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Edible Cookie Dough,Heather Perine,Noratingsyet,,10 minutes,10 minutes,20 minutes,6 servings,7,▢ 1 cup (120g) all-purpose flour heat-treated,"▢ ½ cup (1 stick, 113 g) unsalted butter room temperature",▢ ½ cup (107 g) packed light brown sugar,▢ ¼ cup (50 g) granulated sugar,▢ 1 teaspoon pure vanilla extract,▢ 2 Tablespoons whole milk,▢ ½ cup (84 g) mini chocolate chips,NA,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/edible-cookie-dough/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookie Dough Cookies,Heather Perine,Noratingsyet,,45 minutes,12 minutes,57 minutes,24 cookies,26,For the cookies,▢ 2 ¼ cups (280 g) all-purpose flour (spooned & leveled),▢ 1 teaspoon baking soda,▢ 2 teaspoons cornstarch,▢ ½ teaspoon salt,"▢ ¾ cup (1 ½ sticks, 170 g) unsalted butter melted and slightly cooled",▢ ¾ cup (150 g) packed light brown sugar,▢ ½ cup (100 g) granulated sugar,▢ 1 large egg + 1 egg yolk at room temperature,▢ 2 teaspoons pure vanilla extract,▢ 1 ¼ cup (213 g) semi sweet chocolate chips,Boston Girl Bakes,https://www.bostongirlbakes.com/cookie-dough-cookies/,For the edible cookie dough;,▢ ½ cup (60 g) all-purpose flour heat-treated,"▢ ¼ cup (½ stick, 57 g) unsalted butter room temperature",▢ ¼ cup (57 g) packed light brown sugar,▢ 2 Tablespoons (25 g) granulated sugar,▢ ½ teaspoon pure vanilla extract,▢ 1 Tablespoon whole milk,▢ ¼ cup (42 g) mini chocolate chips plus more for garnish,For the buttercream:,▢ ¼ cup (53g) packed light brown sugar,▢ 10 Tablespoons (142 g) unsalted butter softened,▢ 1 ¼ cups (157 g) confectioners sugar,▢ 1 Tablespoon heavy cream,▢ 1 teaspoon vanilla extract,▢ pinch of salt
Cowboy Cookies,Heather Perine,Noratingsyet,,15 minutes,12 minutes,27 minutes,36 cookies,13,▢ 2 cups (240 g) all purpose flour *spooned and leveled,▢ 1 teaspoon baking soda,▢ 1 teaspoon salt,▢ ½ teaspoon ground cinnamon,"▢ 1 cup (2 sticks, 226 g) unsalted butter, softened",▢ 1 cup (213 g) packed light brown sugar,▢ ½ cup (100 g) granulated white sugar,▢ 2 large eggs room temperature,▢ 2 teaspoons vanilla extract,▢ 2 cups (200 g) old-fashioned oats,▢ 1 cup (85 g) sweetened shredded coconut,Boston Girl Bakes,https://www.bostongirlbakes.com/cowboy-cookies/,"▢ 1 cup (128 g) toasted, chopped pecans",▢ 1 ½ cup (255 g) semisweet chocolate chips,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pumpkin Oatmeal Cookies,Heather Perine,Noratingsyet,,20 minutes,10 minutes,30 minutes,30 cookies,15,▢ 2 ½ cups (300 g) all purpose flour spooned and leveled,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,▢ 2 teaspoons pumpkin pie spice,▢ 2 cups (200 g) old fashioned oats,"▢ 1 cup (2 sticks, 226 g) unsalted butter melted and slightly cooled",▢ 1 cup (213 g) light brown sugar,▢ ½ cup (100 g) granulated white sugar,▢ 1 large egg yolk room temperature,▢ 2 teaspoons vanilla extract,▢ ⅔ cup (150 g) pumpkin puree blotted dry,Boston Girl Bakes,https://www.bostongirlbakes.com/pumpkin-oatmeal-cookies/,For the icing:,▢ 1 cup (114 g) powdered sugar,▢ 2 tablespoons milk,▢ ½ teaspoon vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown Sugar Pop Tart Cookies,Heather Perine,5, 1 ,45 minutes,12 minutes,12 minutes,18 cookies,23,To make the cookies:,▢ 2 ¼ cups (270 g) all-purpose flour spooned and leveled,▢ ½ teaspoon baking powder,▢ ¼ teaspoon baking soda,▢ 1 tablespoon cornstarch,▢ ½ teaspoon salt,"▢ ½ cup (1 stick, 113 g) unsalted butter room temperature",▢ ½ cup (100 g) granulated sugar,▢ ½ cup (107 g) packed light brown sugar,▢ 1 large egg room temperature,▢ 2 teaspoons vanilla extract,Boston Girl Bakes,https://www.bostongirlbakes.com/brown-sugar-pop-tart-cookies/,▢ ¼ cup (60 g) sour cream room temperature,To make the filling:,▢ ¾ cup (163 g) packed light brown sugar,▢ 2 tablespoons all purpose flour,▢ 2 teaspoons ground cinnamon,▢ 5 Tablespoons unsalted butter softened,▢ ½ teaspoon vanilla extract,To make the glaze:,▢ 1 cup (120 g) powdered sugar,▢ ¼ teaspoon ground cinnamon,▢ 2-3 tablespoons milk,▢ 1 tablespoon corn syrup optional,NA,NA,NA
Peanut Butter And Jelly Cookies,Heather Perine,Noratingsyet,,20 minutes,10 minutes,30 minutes,24 cookies,14,▢ 2 ½ cups (300 g) all-purpose flour spooned and leveled,▢ 1 teaspoon baking soda,▢ 1 teaspoon baking powder,▢ ½ teaspoon salt,▢ 1 teaspoon cornstarch,"▢ ½ cup (1 stick, 113 g) unsalted butter",▢ ¾ cup (202 g) peanut butter,▢ ½ cup (100 g) granulated sugar,▢ 1 cup 213 g packed light brown sugar,▢ 2 large eggs at room temperature,▢ 1 large egg yolk room temperature,Boston Girl Bakes,https://www.bostongirlbakes.com/peanut-butter-and-jelly-cookies/,▢ 2 teaspoons vanilla extract,▢ 1 ¼ cups peanut butter chips,▢ 1 cup seedless raspberry jam chilled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No Bakes,Heather Perine,5, 9 ,15 minutes,5 minutes,50 minutes,30 cookies,8,▢ 2 cups (300 g) Granulated Sugar,▢ ½ cup (120 mL) milk,"▢ ½ cup (1 stick, 113 g) unsalted butter",▢ ¼ cup (20 g) unsweetened cocoa powder,▢ 3 cups (300 g) quick oats,▢ 1 cup (250 g) smooth peanut butter,▢ 1½ teaspoons vanilla extract,▢ ⅛ teaspoon salt,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/classic-no-bake-cookies-recipe/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No Bake Peanut Butter Cookies,Heather Perine,Noratingsyet,,15 minutes,5 minutes,50 minutes,30 servings,7,▢ 2 cups (400 g) granulated sugar,▢ ½ cup (120 mL) milk,"▢ ½ cup (1 stick, 113 g) unsalted butter",▢ 3 cups (267 g) quick oats,▢ 1 cup (270 g) smooth peanut butter,▢ 2 teaspoons vanilla extract,▢ Pinch salt,NA,NA,NA,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/no-bake-peanut-butter-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fluffernutter Cookies,Heather Perine,Noratingsyet,,30 minutes,10 minutes,40 minutes,24 cookies,14,▢ 2 ½ cups (300 g) all-purpose flour spooned and leveled,▢ 1 teaspoon baking soda,▢ 1 teaspoon baking powder,▢ ½ teaspoon fine sea salt,▢ 1 teaspoon cornstarch,"▢ ½ cup (1 stick, 113 g) unsalted butter",▢ ¾ cup (200 g) smooth peanut butter,▢ ½ cup (100 g) granulated sugar,▢ 1 cup (213 g) packed light brown sugar,▢ 2 large eggs at room temperature,▢ 1 large egg yolk room temperature,Boston Girl Bakes,https://www.bostongirlbakes.com/fluffernutter-cookies/,▢ 2 teaspoons vanilla extract,▢ 1 ¼ cups peanut butter chips,▢ 1 cup marshmallow fluff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chocolate Chipless Cookies,Heather Perine,Noratingsyet,,15 minutes,10 minutes,25 minutes,20 cookies,10,▢ 2 ¼ cups (280 g) all-purpose flour (spooned & leveled),▢ 1 teaspoon baking soda,▢ 2 teaspoons cornstarch,▢ ½ teaspoon salt,"▢ ¾ cup (1 ½ sticks, 170 g) unsalted butter melted and slightly cooled",▢ ¾ cup (150 g) packed light brown sugar,▢ ½ cup (100 g) granulated sugar,▢ 1 large egg at room temperature,▢ 1 large egg yolk at room temperature,▢ 1 Tablespoon pure vanilla extract,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/chocolate-chipless-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacque Torres Chocolate Chip Cookies,Heather Perine,5, 6 ,20 minutes,20 minutes,40 minutes,18 large 5-inch cookies,12,▢ 2 cups minus 2 tablespoons (8 1/2 ounces) cake flour,▢ 1 ⅔ cups (8 1/2 ounces) bread flour,▢ 1 ¼ teaspoons baking soda,▢ 1 ½ teaspoons baking powder,▢ 1 ½ teaspoons coarse salt,▢ 2 ½ sticks (1 1/4 cups) unsalted butter,▢ 1 ¼ cups (10 ounces) light brown sugar,▢ 1 cup plus 2 tablespoons (8 ounces) granulated sugar,▢ 2 large eggs,▢ 2 teaspoons pure vanilla extract,▢ 1 ¼ pounds chopped chocolate see note,Boston Girl Bakes,https://www.bostongirlbakes.com/new-york-times-chocolate-chip-cookie/,▢ 8 ounces semi-sweet chocolate for dipping after baking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oat Flour Chocolate Chip Cookies,Heather Perine,Noratingsyet,,15 minutes,11 minutes,26 minutes,36 cookies,11,▢ 3 cups (280 g) oat flour *see note,▢ 2 teaspoons cornstarch,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,"▢ ¾ cup (1 ½ stick, 170 g) unsalted butter melted and slightly cooled",▢ ½ cup (100 g) granulated white sugar,▢ ¾ cup (160 g) packed light brown sugar,▢ 2 teaspoons vanilla extract,▢ 1 large egg room temperature,▢ 1 large egg yolk room temperature,▢ 1 ½ cups (255 g) semi-sweet chocolate chips,Boston Girl Bakes,https://www.bostongirlbakes.com/oat-flour-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Almond Flour Chocolate Chip Cookies,Heather Perine,5, 1 ,15 minutes,11 minutes,26 minutes,20 cookies,10,▢ 3 cups (336g) almond flour *see note,▢ 1 Tablespoon cornstarch,▢ 1 teaspoon baking soda,▢ ½ teaspoon salt,"▢ ¾ cup (1 ½ stick, 170 g) unsalted butter melted and slightly cooled",▢ ½ cup (100 g) granulated white sugar,▢ ¾ cup (160 g) packed light brown sugar,▢ 2 teaspoons vanilla extract,▢ 2 large eggs room temperature,▢ 1 ½ cups (255 g) semi-sweet chocolate chips,NA,Boston Girl Bakes,https://www.bostongirlbakes.com/almond-flour-chocolate-chip-cookies/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Churro Cookies,Heather Perine,Noratingsyet,,NA,13 minutes,13 minutes,16 cookies,16,For the chocolate centers,▢ 4 ounces semi-sweet chocolate chopped,▢ ½ cup (120 ml) heavy cream,For the cookie dough,▢ 2 ¼ cups (270 g) all-purpose flour spooned and leveled,▢ ½ teaspoon baking powder,▢ ¼ teaspoon baking soda,▢ 1 tablespoon cornstarch,▢ ½ teaspoon salt,"▢ ½ cup (1 stick, 113 g) unsalted butter room temperature",▢ ½ cup (100 g) granulated sugar,Boston Girl Bakes,https://www.bostongirlbakes.com/churro-cookies/,▢ ½ cup (107 g) packed light brown sugar,▢ 1 large egg room temperature,▢ 2 teaspoons vanilla extract,▢ ¼ cup (60 g) sour cream room temperature,▢ cinnamon sugar for rolling cookies in,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Key Lime Cookies,Heather Perine,5, 1 ,15 minutes,10 minutes,25 minutes,24 cookies,14,For The Cookies:,"▢ 3 cups (360 g) all-purpose flour, spooned and leveled",▢ 1 teaspoon baking powder,▢ ½ teaspoon baking soda,▢ ½ teaspoon salt,"▢ 1 cup (2 sticks, 226 g) unsalted butter, softened",▢ 1 ¼ cups (250 g) granulated white sugar,▢ 1 teaspoon vanilla extract,▢ 2 tablespoons key lime juice,▢ 1 tablespoon key lime zest,▢ 1 large egg room temperature,Boston Girl Bakes,https://www.bostongirlbakes.com/key-lime-cookies/,For The Icing:,▢ 2 cups (228 g) confectioners sugar,▢ 3-4 tablespoons key lime juice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
